Id,Universitas,Rank Universitas,Program Studi,Daya Tampung,Gelar,UKT WNI,UKT WNA
1,Universitas Gajah Mada,1,Biologi,35.0,Ganda,25000000.0,25000000.0
2,Universitas Gajah Mada,1,Akuntansi,55.0,Ganda,27500000.0,28000000.0
3,Universitas Gajah Mada,1,Manajemen,35.0,Ganda,25000000.0,35000000.0
4,Universitas Gajah Mada,1,ilmu Ekonomi,35.0,Ganda,25000000.0,35000000.0
5,Universitas Gajah Mada,1,Farmasi,20.0,Ganda,30000000.0,46500000.0
6,Universitas Gajah Mada,1,geografi Lingkungan,35.0,Ganda,25000000.0,35000000.0
7,Universitas Gajah Mada,1,kedokteran Hewan,35.0,Ganda,25000000.0,25000000.0
8,Universitas Gajah Mada,1,Hukum,80.0,Ganda,26000000.0,28000000.0
9,Universitas Gajah Mada,1,Hubungan Internasional,50.0,Ganda,25000000.0,35000000.0
10,Universitas Gajah Mada,1,Ilmu Komunikasi,50.0,Ganda,25000000.0,35000000.0
11,Universitas Gajah Mada,1,Manajemen dan kebijakan publik,50.0,Ganda,25000000.0,35000000.0
12,Universitas Gajah Mada,1,Kedokteran ,80.0,Ganda,50000000.0,65000000.0
13,Universitas Gajah Mada,1,Psikologi,40.0,Ganda,25000000.0,25000000.0
14,Universitas Gajah Mada,1,Teknologi pengelolaan infrastruktur sipil,35.0,Ganda,25000000.0,25000000.0
15,Universitas Gajah Mada,1,Statistika,35.0,Ganda,25000000.0,25000000.0
16,Universitas Gajah Mada,1,Elektronika dan Instrumental,30.0,Ganda,25000000.0,25000000.0
17,Universitas Gajah Mada,1,Ilmu Komputer,60.0,Ganda,25000000.0,25000000.0
18,Universitas Gajah Mada,1,Kimia,30.0,Ganda,20000000.0,20000000.0
19,Universitas Gajah Mada,1,Matematika,35.0,Ganda,25000000.0,25000000.0
20,Universitas Gajah Mada,1,ilmu dan Insustri peternakan,35.0,Ganda,25000000.0,25000000.0
21,Universitas Gajah Mada,1,Teknik biomedis,25.0,Ganda,30000000.0,30000000.0
22,Universitas Gajah Mada,1,Teknik sipil,50.0,Ganda,30000000.0,30000000.0
23,Universitas Gajah Mada,1,Teknik Mesin,25.0,Ganda,30000000.0,30000000.0
24,Universitas Gajah Mada,1,Teknik Kimia,25.0,Ganda,30000000.0,30000000.0
25,Universitas Gajah Mada,1,Teknik Geodesi,25.0,Ganda,30000000.0,30000000.0
26,Universitas Gajah Mada,1,Teknik Geologi,30.0,Ganda,30000000.0,30000000.0
27,Universitas Gajah Mada,1,Teknologi Informasi,25.0,Ganda,30000000.0,30000000.0
28,Universitas Gajah Mada,1,Teknik Industri,30.0,Ganda,30000000.0,30000000.0
29,Universitas Gajah Mada,1,Perencanaan wilayah dan kota,20.0,Ganda,25000000.0,25000000.0
30,Institut Teknologi Bandung,3,Sains dan Teknologi Farmasi (Sekolah Farmasi),30.0,Ganda,30000000.0,30000000.0
31,Institut Teknologi Bandung,3,Farmasi Klinis dan Komunitas (Sekolah Farmasi),30.0,Ganda,30000000.0,30000000.0
32,Institut Teknologi Bandung,3,Teknik Kimia,30.0,Ganda,30000000.0,30000000.0
33,Institut Teknologi Bandung,3,Teknik Lingkungan ,20.0,Ganda,30000000.0,30000000.0
34,Institut Teknologi Bandung,3,Teknik Mesin ,60.0,Ganda,30000000.0,30000000.0
35,Institut Teknologi Bandung,3,Teknik Dirgantara ,35.0,Ganda,30000000.0,30000000.0
36,Institut Teknologi Bandung,3,Manajemen ,180.0,Ganda,30000000.0,30000000.0
37,Institut Teknologi Bandung,3,Kewirausahaan ,30.0,Ganda,30000000.0,30000000.0
38,Institut Teknologi Bandung,3,Desain Produk,15.0,Ganda,30000000.0,30000000.0
39,Institut Teknologi Bandung,3,Craft,15.0,Ganda,30000000.0,30000000.0
40,Institut Teknologi Bandung,3,Desain Interior,15.0,Ganda,30000000.0,30000000.0
41,Institut Teknologi Bandung,3,Desain Komunikasi Visual,20.0,Ganda,30000000.0,30000000.0
42,Institut Teknologi Bandung,3,Perencanaan kota dan wilayah,10.0,Ganda,30000000.0,30000000.0
43,Institut Teknologi Bandung,3,Arsitektur,20.0,Ganda,30000000.0,30000000.0
44,Institut Teknologi Bandung,3,Fisika,5.0,Ganda,30000000.0,30000000.0
45,Institut Teknologi Bandung,3,Biologi,5.0,Ganda,30000000.0,30000000.0
46,Institut Teknologi Bandung,3,Mikrobiologi,5.0,Ganda,30000000.0,30000000.0
47,Institut Teknologi Bandung,3,Bioteknologi,5.0,Ganda,30000000.0,30000000.0
48,Institut Teknologi Bandung,3,Teknik Metalurgi,10.0,Ganda,30000000.0,30000000.0
49,Institut Teknologi Bandung,3,Teknik Tenaga Listrik,15.0,Ganda,30000000.0,30000000.0
50,Institut Teknologi Bandung,3,Teknik Telekomunikasi,15.0,Ganda,30000000.0,30000000.0
51,Universitas Airlangga,8,Akuntansi,10.0,Ganda,20000000.0,25000000.0
52,Universitas Airlangga,8,Manajemen,10.0,Ganda,20000000.0,25000000.0
53,Universitas Airlangga,8,Ekonomi Islam,5.0,Ganda,20000000.0,25000000.0
54,Universitas Airlangga,8,Ekonomi Pembangunan,5.0,Ganda,15000000.0,20000000.0
55,Universitas Airlangga,8,Kedokteran,50.0,Ganda,30000000.0,37500000.0
56,Universitas Airlangga,8,Kedokteran Gigi,50.0,Ganda,27500000.0,34000000.0
57,Universitas Airlangga,8,Kedokteran Hewan,40.0,Ganda,15000000.0,15000000.0
58,Universitas Airlangga,8,Hukum,30.0,Ganda,25000000.0,25000000.0
59,Universitas Airlangga,8,Farmasi,10.0,Ganda,22000000.0,22000000.0
60,Universitas Airlangga,8,Psikologi,30.0,Ganda,20000000.0,20000000.0
61,Universitas Diponegoro,4,Akuntansi,60.0,Ganda,20000000.0,20000000.0
62,Universitas Diponegoro,4,Manajemen,100.0,Ganda,20000000.0,20000000.0
63,Universitas Diponegoro,4,Ekonomi,60.0,Ganda,20000000.0,20000000.0
64,Universitas Diponegoro,4,Ilmu Komunikasi,46.0,Ganda,20000000.0,20000000.0
65,Universitas Diponegoro,4,Hukum,60.0,Ganda,20000000.0,25000000.0
66,Universitas Diponegoro,4,Teknik Kimia,60.0,Ganda,20000000.0,20000000.0
67,Universitas Diponegoro,4,Teknik Sipil,60.0,Ganda,20000000.0,20000000.0
68,Universitas Diponegoro,4,Teknik Industri,60.0,Ganda,20000000.0,20000000.0
69,Universitas Diponegoro,4,Kedokteran,60.0,Ganda,70000000.0,70000000.0
70,Universitas Diponegoro,4,Ilmu Pemerintahan,45.0,Ganda,15700000.0,15700000.0
71,Universitas Diponegoro,4,Administrasi Publik,60.0,Ganda,17300000.0,17300000.0
72,Universitas Diponegoro,4,Administrasi Bisnis,60.0,Ganda,18000000.0,18000000.0
73,Universitas Diponegoro,4,Sastra Inggris,60.0,Ganda,15000000.0,15000000.0
74,Universitas Padjajaran,5,Akuntansi,40.0,Ganda,18000000.0,18000000.0
75,Universitas Padjajaran,5,Manajemen,40.0,Ganda,18000000.0,18000000.0
76,Universitas Padjajaran,5,Ekonomi Islam,40.0,Ganda,18000000.0,18000000.0
77,Universitas Padjajaran,5,Ekonomi,40.0,Ganda,18000000.0,18000000.0
78,Universitas Padjajaran,5,Bisnis Digital,40.0,Ganda,18000000.0,18000000.0
79,Universitas Padjajaran,5,Ilmu Perikanan,40.0,Ganda,18000000.0,18000000.0
80,Universitas Padjajaran,5,Ilmu Kelautan,40.0,Ganda,18000000.0,18000000.0
81,Universitas Padjajaran,5,Kedokteran Gigi,40.0,Ganda,50000000.0,50000000.0
82,Universitas Padjajaran,5,Farmasi,40.0,Ganda,28000000.0,28000000.0
83,Universitas Padjajaran,5,Hukum,40.0,Ganda,18000000.0,18000000.0
84,Universitas Padjajaran,5,Hubungan internasional,40.0,Ganda,18000000.0,18000000.0
85,Universitas Padjajaran,5,Ilmu Komunikasi,40.0,Ganda,18000000.0,18000000.0
86,Universitas Padjajaran,5,Kedokteran,40.0,Ganda,50000000.0,50000000.0
87,Universitas Padjajaran,5,Administrasi Bisnis,40.0,Ganda,17000000.0,17000000.0
88,Universitas Indonesia,1,Akuntansi ,30.0,Ganda,29300000.0,29300000.0
89,Universitas Indonesia,1,Akuntansi ,12.0,Tunggal,29300000.0,29300000.0
90,Universitas Indonesia,1,Arsitektur ,21.0,Ganda,25000000.0,25000000.0
91,Universitas Indonesia,1,Arsitektur ,7.0,Tunggal,25000000.0,25000000.0
92,Universitas Indonesia,1,Bisnis Islam ,7.0,Tunggal,29300000.0,29300000.0
93,Universitas Indonesia,1,Ilmu Ekonomi ,34.0,Ganda,29300000.0,29300000.0
94,Universitas Indonesia,1,Ilmu Ekonomi ,15.0,Tunggal,29300000.0,29300000.0
95,Universitas Indonesia,1,Ilmu Ekonomi Islam ,3.0,Tunggal,29300000.0,29300000.0
96,Universitas Indonesia,1,Ilmu Hukum ,36.0,Tunggal,28000000.0,28000000.0
97,Universitas Indonesia,1,Ilmu Komputer ,20.0,Ganda,29300000.0,29300000.0
98,Universitas Indonesia,1,Ilmu Komunikasi ,25.0,Ganda,28000000.0,28000000.0
99,Universitas Indonesia,1,Manajemen ,44.0,Ganda,29300000.0,29300000.0
100,Universitas Indonesia,1,Manajemen ,19.0,Tunggal,29300000.0,29300000.0
101,Universitas Indonesia,1,Pendidikan Dokter Gigi ,24.0,Tunggal,64500000.0,64500000.0
102,Universitas Indonesia,1,Pendidikan Dokter Kelas Khusus Internasional ,60.0,Ganda,51700000.0,51700000.0
103,Universitas Indonesia,1,Psikologi ,15.0,Ganda,34000000.0,34000000.0
104,Universitas Indonesia,1,Psikologi ,15.0,Ganda,34000000.0,34000000.0
105,Universitas Indonesia,1,Teknik Bioproses ,10.0,Ganda,25000000.0,25000000.0
106,Universitas Indonesia,1,Teknik Bioproses ,10.0,Tunggal,25000000.0,25000000.0
107,Universitas Indonesia,1,Teknik Elektro ,21.0,Ganda,25000000.0,25000000.0
108,Universitas Indonesia,1,Teknik Elektro ,7.0,Tunggal,25000000.0,25000000.0
109,Universitas Indonesia,1,Teknik Industri ,37.0,Ganda,25000000.0,25000000.0
110,Universitas Indonesia,1,Teknik Industri ,12.0,Tunggal,25000000.0,25000000.0
111,Universitas Indonesia,1,Teknik Kimia ,21.0,Ganda,25000000.0,25000000.0
112,Universitas Indonesia,1,Teknik Kimia ,7.0,Tunggal,25000000.0,25000000.0
113,Universitas Indonesia,1,Teknik Komputer ,10.0,Ganda,25000000.0,25000000.0
114,Universitas Indonesia,1,Teknik Komputer ,11.0,Tunggal,25000000.0,25000000.0
115,Universitas Indonesia,1,Teknik Lingkungan ,10.0,Ganda,25000000.0,25000000.0
116,Universitas Indonesia,1,Teknik Mesin ,20.0,Ganda,25000000.0,25000000.0
117,Universitas Indonesia,1,Teknik Mesin ,7.0,Tunggal,25000000.0,25000000.0
118,Universitas Indonesia,1,Teknik Metalurgi ,17.0,Ganda,25000000.0,25000000.0
119,Universitas Indonesia,1,Teknik Metalurgi ,7.0,Tunggal,25000000.0,25000000.0
120,Universitas Indonesia,1,Teknik Perkapalan ,2.0,Ganda,25000000.0,25000000.0
121,Universitas Indonesia,1,Teknik Perkapalan ,1.0,Tunggal,25000000.0,25000000.0
122,Universitas Indonesia,1,Teknik Sipil ,21.0,Ganda,25000000.0,25000000.0
123,Universitas Indonesia,1,Teknik Sipil ,7.0,Ganda,25000000.0,25000000.0
152,Institut Pertanian Bogor,6,Smart Agriculture,18.0,Ganda,25000000.0,25000000.0
153,Institut Pertanian Bogor,6,Kedokteran Hewan,88.0,Ganda,30000000.0,30000000.0
154,Institut Pertanian Bogor,6,Teknologi Pangan,52.0,Ganda,25000000.0,25000000.0
155,Institut Pertanian Bogor,6,teknik Industri Pertanian,52.0,Ganda,25000000.0,25000000.0
156,Institut Pertanian Bogor,6,Bisnis,92.0,Ganda,25000000.0,25000000.0
157,Institut Pertanian Bogor,6,Ilmu dan Teknologi Kelautan,59.0,Ganda,25000000.0,25000000.0
158,Institut Pertanian Bogor,6,Manajemen,60.0,Ganda,25000000.0,25000000.0
159,Institut Pertanian Bogor,6,Agribisnis,72.0,Ganda,25000000.0,25000000.0
160,Institut Pertanian Bogor,6,Ekonomi Sumberdaya dan Lingkungan,59.0,Ganda,25000000.0,25000000.0
161,Institut Pertanian Bogor,6,Ekonomi Syariah,52.0,Ganda,25000000.0,25000000.0
162,Institut Pertanian Bogor,6,Biologi,50.0,Ganda,25000000.0,25000000.0
163,Institut Pertanian Bogor,6,Kimia,54.0,Ganda,25000000.0,25000000.0
164,Universitas Sebelas Maret,9,Akuntansi,51.0,Ganda,17500000.0,17500000.0
165,Universitas Sebelas Maret,9,Ekonomi Pembangunan,54.0,Ganda,17500000.0,17500000.0
166,Universitas Hasanuddin,11,Manajemen,30.0,Ganda,15000000.0,15000000.0
167,Universitas Hasanuddin,11,Akuntansi,30.0,Ganda,15000000.0,15000000.0
168,Universitas Hasanuddin,11,Hubungan Internasional,30.0,Ganda,15000000.0,15000000.0
169,Universitas Hasanuddin,11,Ilmu Hukum,30.0,Ganda,15000000.0,15000000.0
170,Universitas Hasanuddin,11,Kesehatan Masyarakat,30.0,Ganda,15000000.0,15000000.0
171,Universitas Hasanuddin,11,Pendidikan Dokter,30.0,Ganda,35000000.0,35000000.0
172,Universitas Hasanuddin,11,Pendidikan Dokter Gigi,30.0,Ganda,22500000.0,22500000.0
173,Universitas Hasanuddin,11,Teknik Sipil,30.0,Ganda,16000000.0,16000000.0
174,Universitas Hasanuddin,11,Arsitektur,30.0,Ganda,16000000.0,16000000.0
175,Universitas Hasanuddin,11,Teknik Geologi,30.0,Ganda,16000000.0,16000000.0
176,Universitas Hasanuddin,11,Teknik Informatika,30.0,Ganda,16000000.0,16000000.0
177,Universitas Hasanuddin,11,Ilmu Keperawatan,30.0,Ganda,16000000.0,16000000.0
178,Universitas Hasanuddin,11,Ilmu Komunikasi,30.0,Ganda,16000000.0,16000000.0
179,Universitas Hasanuddin,11,Ilmu Gizi,30.0,Ganda,16000000.0,16000000.0
180,Universitas Hasanuddin,11,Administrasi Publik,30.0,Ganda,15000000.0,15000000.0
181,Universitas Hasanuddin,11,Farmasi,30.0,Ganda,16000000.0,16000000.0
182,Universitas Islam Indonesia,32,Manajemen,30.0,Ganda,11400000.0,11400000.0
183,Universitas Islam Indonesia,32,Akuntansi ,30.0,Ganda,11200000.0,11200000.0
184,Universitas Islam Indonesia,32,Ekonomi Pembangunan ,30.0,Ganda,9650000.0,9650000.0
185,Universitas Islam Indonesia,32,Hukum,30.0,Ganda,8750000.0,8750000.0
186,Universitas Islam Indonesia,32,Teknik Industri,30.0,Ganda,11750000.0,11750000.0
187,Universitas Islam Indonesia,32,Teknik Kimia ,30.0,Ganda,9700000.0,9700000.0
188,Universitas Islam Indonesia,32,Informatika ,30.0,Ganda,10000000.0,10000000.0
189,Universitas Islam Indonesia,32,Teknik Sipil ,30.0,Ganda,11150000.0,11150000.0
190,Universitas Islam Indonesia,32,Arsitektur ,30.0,Ganda,11600000.0,11600000.0
191,Universitas Islam Indonesia,32,Farmasi ,30.0,Ganda,11100000.0,11100000.0
192,Universitas Islam Indonesia,32,Hukum Keluarga Islam ,30.0,Ganda,5800000.0,5800000.0
193,Universitas Islam Indonesia,32,Ilmu Komunikasi ,30.0,Ganda,7550000.0,7550000.0
194,Universitas Islam Indonesia,32,Hubungan Internasional ,30.0,Ganda,8200000.0,8200000.0
201,Universitas Surabaya,59,Manajemen Pendidikan,30.0,Ganda,12600000.0,12600000.0
202,Universitas Surabaya,59,Pendidikan Guru Sekolah Dasar,30.0,Ganda,17900000.0,17900000.0
203,Universitas Surabaya,59,Akuntansi,30.0,Ganda,12600000.0,12600000.0
204,Universitas Surabaya,59,Manajemen,30.0,Ganda,12000000.0,12000000.0
205,Universitas Surabaya,59,Pendidikan Matematika,30.0,Ganda,13200000.0,13200000.0
206,Universitas Surabaya,59,Biologi,30.0,Ganda,13200000.0,13200000.0
207,Universitas Surabaya,59,Fisika,30.0,Ganda,12100000.0,12100000.0
208,Universitas Surabaya,59,Administrasi Publik,30.0,Ganda,12000000.0,12000000.0
209,Universitas Surabaya,59,Hukum,30.0,Ganda,12000000.0,12000000.0
210,Universitas Surabaya,59,Pendidikan Bahasa Mandarin,30.0,Ganda,11000000.0,11000000.0
211,Universitas Surabaya,59,Sastra Inggris,30.0,Ganda,12000000.0,12000000.0
212,Universitas Surabaya,59,"Pendidikan Jasmani, Rekreasi dan Kesehatan",30.0,Ganda,13200000.0,13200000.0
213,Universitas Surabaya,59,Pendidikan Kepelatihan Olahraga,30.0,Ganda,13200000.0,13200000.0
214,Universitas Surabaya,59,Administrasi Publik (Sekolah Kejuruan),30.0,Ganda,12600000.0,12600000.0
215,Universitas Surabaya,59,Teknik Elektro,30.0,Ganda,12100000.0,12100000.0
216,Universitas Surabaya,59,Ekonomi Islam,30.0,Ganda,12000000.0,12000000.0
